manuscript_citekey	detagged_citekey	standard_citekey	short_citekey
doi:10.1016/j.cels.2018.03.014	doi:10.1016/j.cels.2018.03.014	doi:10.1016/j.cels.2018.03.014	74cIRMFz
doi:10.1038/nbt.2721	doi:10.1038/nbt.2721	doi:10.1038/nbt.2721	17I2YPM2q
doi:10.1038/ng.3351	doi:10.1038/ng.3351	doi:10.1038/ng.3351	19FpaE98z
doi:10.1038/ng.3499	doi:10.1038/ng.3499	doi:10.1038/ng.3499	4hNVaOa3
doi:10.1038/ng.3968	doi:10.1038/ng.3968	doi:10.1038/ng.3968	6byZMlpn
doi:10.1038/s41467-018-05227-z	doi:10.1038/s41467-018-05227-z	doi:10.1038/s41467-018-05227-z	C4n5NL6O
doi:10.1038/s41581-019-0166-z	doi:10.1038/s41581-019-0166-z	doi:10.1038/s41581-019-0166-z	w3jYWJ2x
doi:10.1038/s41587-019-0053-y	doi:10.1038/s41587-019-0053-y	doi:10.1038/s41587-019-0053-y	hAXMNctD
doi:10.1038/s41588-017-0021-8	doi:10.1038/s41588-017-0021-8	doi:10.1038/s41588-017-0021-8	1BSJmq1dk
doi:10.1038/sdata.2016.18	doi:10.1038/sdata.2016.18	doi:10.1038/sdata.2016.18	6DjakjNS
doi:10.1073/pnas.1708290115	doi:10.1073/pnas.1708290115	doi:10.1073/pnas.1708290115	15x3dyh2J
doi:10.1128/mSystems.00297-19	doi:10.1128/mSystems.00297-19	doi:10.1128/msystems.00297-19	tXK4zFfI
doi:10.1128/mSystems.00467-19	doi:10.1128/mSystems.00467-19	doi:10.1128/msystems.00467-19	frogaOLI
doi:10.1186/s13059-019-1649-8	doi:10.1186/s13059-019-1649-8	doi:10.1186/s13059-019-1649-8	nRK3rx6P
doi:10.1186/s13742-016-0135-4	doi:10.1186/s13742-016-0135-4	doi:10.1186/s13742-016-0135-4	yp3Au04m
doi:10.12688/f1000research.13477.2	doi:10.12688/f1000research.13477.2	doi:10.12688/f1000research.13477.2	OhOMTQcQ
doi:10.5256/f1000research.4564.r5630	doi:10.5256/f1000research.4564.r5630	doi:10.5256/f1000research.4564.r5630	1GfgzrB2n
doi:10.7287/peerj.preprints.27415v1	doi:10.7287/peerj.preprints.27415v1	doi:10.7287/peerj.preprints.27415v1	9X2ojaGb
doi:10.7554/eLife.30274	doi:10.7554/eLife.30274	doi:10.7554/elife.30274	QvMlvgH1
pmid:27153671	pmid:27153671	pmid:27153671	13B4usRXp
pmid:28358134	pmid:28358134	pmid:28358134	OAPRxFcC
pmid:28720283	pmid:28720283	pmid:28720283	13MM3iDcG
pmid:30510254	pmid:30510254	pmid:30510254	f4rUvDTZ
url:https://github.com/greenelab/GCB535	url:https://github.com/greenelab/GCB535	url:https://github.com/greenelab/GCB535	16xQjNgsl
url:https://www.nature.com/collections/diadgjciaj	url:https://www.nature.com/collections/diadgjciaj	url:https://www.nature.com/collections/diadgjciaj	XNSkD2Xf
